"IDCIUDAD","NOMBRE"
25151,"Cáqueza"
86571,"Puerto Guzmán"
47707,"Santa Ana"
63470,"Montenegro"
68755,"Socorro"
13838,"Turbaná"
25486,"Nemocón"
73616,"Rioblanco"
41013,"Agrado"
47053,"Aracataca"
54261,"El Zulia"
25053,"Arbeláez"
20238,"El Copey"
25743,"Silvania"
23300,"Cotorra"
54099,"Bochalema"
5890,"Yolombó"
17777,"Supía"
23686,"San Pelayo"
17614,"Riosucio"
20621,"La Paz"
5670,"San Roque"
70670,"Sampués"
41807,"Timaná"
54480,"Mutiscua"
44560,"Manaure"
15516,"Paipa"
94663,"Mapiripana"
86573,"Puerto Leguízamo"
54377,"Labateca"
8137,"Campo de la Cruz"
20060,"Bosconia"
76248,"El Cerrito"
5042,"Santa Fé de Antioquia"
76400,"La Unión"
13647,"San Estanislao"
73504,"Ortega"
52427,"Magüí"
17174,"Chinchiná"
73443,"San Sebastián de Mariquita"
73873,"Villarrica"
99001,"Puerto Carreño"
66682,"Santa Rosa de Cabal"
5495,"Nechí"
85010,"Aguazul"
23350,"La Apartada"
15572,"Puerto Boyacá"
5854,"Valdivia"
5873,"Vigía del Fuerte"
17444,"Marquetalia"
41298,"Garzón"
54820,"Toledo"
70823,"Tolú Viejo"
73675,"San Antonio"
44650,"San Juan del Cesar"
13442,"María la Baja"
23815,"Tuchín"
27413,"Lloró"
18247,"El Doncello"
5266,"Envigado"
41078,"Baraya"
23586,"Purísima de la Concepción"
70215,"Corozal"
13430,"Magangué"
41872,"Villavieja"
52210,"Contadero"
81001,"Arauca"
23500,"Moñitos"
44035,"Albania"
41615,"Rivera"
5306,"Giraldo"
25658,"San Francisco"
41306,"Gigante"
47058,"Ariguaní"
20517,"Pailitas"
68432,"Málaga"
15299,"Garagoa"
5129,"Caldas"
76147,"Cartago"
15224,"Cucaita"
41378,"La Argentina"
25326,"Guatavita"
41770,"Suaza"
73275,"Flandes"
70820,"Santiago de Tolú"
73319,"Guamo"
15533,"Paya"
5148,"El Carmen de Viboral"
13433,"Mahates"
25772,"Suesca"
23580,"Puerto Libertador"
20178,"Chiriguaná"
70508,"Ovejas"
19513,"Padilla"
76275,"Florida"
23464,"Momil"
52786,"Taminango"
54398,"La Playa"
13670,"San Pablo"
25178,"Chipaque"
13042,"Arenal"
70265,"Guaranda"
47541,"Pedraza"
27025,"Alto Baudó"
41551,"Pitalito"
52490,"Olaya Herrera"
68855,"Valle de San José"
68679,"San Gil"
15764,"Soracá"
47555,"Plato"
70702,"San Juan de Betulia"
23675,"San Bernardo del Viento"
18592,"Puerto Rico"
27361,"Istmina"
15897,"Zetaquira"
5101,"Ciudad Bolívar"
52838,"Túquerres"
13673,"Santa Catalina"
76233,"Dagua"
54800,"Teorama"
25181,"Choachí"
13006,"Achí"
47798,"Tenerife"
23807,"Tierralta"
8770,"Suan"
5591,"Puerto Triunfo"
76306,"Ginebra"
68502,"Onzaga"
20400,"La Jagua de Ibirico"
13468,"Mompós"
70717,"San Pedro"
76318,"Guacarí"
73148,"Carmen de Apicalá"
76111,"Guadalajara de Buga"
13549,"Pinillos"
19450,"Mercaderes"
50606,"Restrepo"
76622,"Roldanillo"
19743,"Silvia"
47545,"Pijiño del Carmen"
5490,"Necoclí"
5893,"Yondó"
25200,"Cogua"
27491,"Nóvita"
13212,"Córdoba"
17495,"Norcasia"
19821,"Toribío"
76377,"La Cumbre"
25295,"Gachancipá"
68179,"Chipatá"
13030,"Altos del Rosario"
20443,"Manaure Balcón del Cesar"
19698,"Santander de Quilichao"
5665,"San Pedro de Urabá"
19845,"Villa rica"
17433,"Manzanares"
27600,"Río Quito"
52696,"Santa Bárbara"
5659,"San Juan de Urabá"
70221,"Coveñas"
27099,"Bojayá"
70771,"Sucre"
19300,"Guachené"
52224,"Cuaspúd"
25019,"Albán"
47258,"El Piñón"
20250,"El Paso"
23168,"Chimá"
76895,"Zarzal"
47692,"San Sebastián de Buenavista"
68190,"Cimitarra"
19110,"Buenos Aires"
25183,"Chocontá"
76403,"La Victoria"
52560,"Potosí"
52207,"Consacá"
63272,"Filandia"
23672,"San Antero"
52317,"Guachucal"
73483,"Natagaima"
52612,"Ricaurte"
52203,"Colón"
27810,"Unión Panamericana"
19392,"La Sierra"
19809,"Timbiquí"
68255,"El Playón"
70678,"San Benito abad"
25099,"Bojacá"
52621,"Roberto Payán"
5895,"Zaragoza"
54174,"Chitagá"
18756,"Solano"
94001,"Inírida"
54003,"Ábrego"
41668,"San Agustín"
68861,"Vélez"
5051,"Arboletes"
27075,"Bahía Solano"
76845,"Ulloa"
27787,"Tadó"
5120,"Cáceres"
8606,"Repelón"
52110,"Buesaco"
73411,"Líbano"
25873,"Villapinzón"
52685,"San Bernardo"
5234,"Dabeiba"
41020,"Algeciras"
5034,"Andes"
5847,"Urrao"
27073,"Bagadó"
25645,"San Antonio del Tequendama"
68344,"Hato"
20295,"Gamarra"
5318,"Guarne"
52435,"Mallama"
13894,"Zambrano"
23068,"Ayapel"
54520,"Pamplonita"
52385,"La Llanada"
52520,"Francisco Pizarro"
5282,"Fredonia"
15806,"Tibasosa"
47268,"El Retén"
5030,"Amagá"
5761,"Sopetrán"
5440,"Marinilla"
54172,"Chinácota"
5353,"Hispania"
19212,"Corinto"
13300,"Hatillo de Loba"
27580,"Río Iró"
52323,"Gualmatán"
41349,"Hobo"
5656,"San Jerónimo"
5697,"El Santuario"
73349,"Honda"
52678,"Samaniego"
19050,"Argelia"
85125,"Hato Corozal"
76036,"Andalucía"
19256,"El Tambo"
25260,"El Rosal"
19418,"López de Micay"
15790,"Tasco"
13268,"El Peñón"
44378,"Hatonuevo"
68770,"Suaita"
76250,"El Dovio"
5861,"Venecia"
52585,"Pupiales"
27205,"Condoto"
47675,"Salamina"
15646,"Samacá"
50124,"Cabuyaro"
76869,"Vijes"
76890,"Yotoco"
50223,"San Luis de Cubarral"
52683,"Sandoná"
76497,"Obando"
15218,"Covarachía"
41396,"La Plata"
18610,"San José del Fragua"
47030,"Algarrobo"
5579,"Puerto Berrío"
54743,"Silos"
19364,"Jambaló"
20614,"Río de Oro"
73671,"Saldaña"
5887,"Yarumal"
19548,"Piendamó"
73624,"Rovira"
91798,"Tarapacá"
52381,"La Florida"
70204,"Coloso"
13074,"Barranco de Loba"
54673,"San Cayetano"
5237,"Donmatías"
70233,"El Roble"
15442,"Maripí"
41676,"Santa María"
85250,"Paz de Ariporo"
70473,"Morroa"
52320,"Guaitarilla"
27135,"El Cantón San Pablo"
5756,"Sonsón"
76020,"Alcalá"
27150,"Carmen del Darién"
66088,"Belén de Umbría"
97666,"Taraira"
52573,"Puerres"
68689,"San Vicente de Chucurí"
27050,"Atrato"
47170,"Chivolo"
19130,"Cajibío"
68573,"Puerto Parra"
47161,"Cerro de San Antonio"
52480,"Nariño"
25372,"Junín"
5480,"Mutatá"
41801,"Teruel"
25297,"Gachetá"
41799,"Tello"
20175,"Chimichagua"
25851,"Útica"
91405,"La Chorrera"
19532,"Patía"
25867,"Vianí"
52227,"Cumbal"
25095,"Bituima"
54245,"El Carmen"
19075,"Balboa"
73043,"Anzoátegui"
73585,"Purificación"
18479,"Morelia"
5674,"San Vicente Ferrer"
27077,"Bajo Baudó"
25572,"Puerto Salgar"
52287,"Funes"
41518,"Paicol"
76122,"Caicedonia"
27430,"Medio Baudó"
73408,"Lérida"
17662,"Samaná"
73861,"Venadillo"
20550,"Pelaya"
5044,"Anzá"
13810,"Tiquisio"
27495,"Nuquí"
13655,"San Jacinto del Cauca"
70523,"Palmito"
5347,"Heliconia"
66440,"Marsella"
25123,"Cachipay"
5264,"Entrerríos"
68655,"Sabana de Torres"
15879,"Viracachá"
5585,"Puerto Nare"
13760,"Soplaviento"
5607,"Retiro"
50680,"San Carlos de Guaroa"
70429,"Majagual"
27160,"Cértegui"
68377,"La Belleza"
54418,"Lourdes"
86749,"Sibundoy"
15542,"Pesca"
23682,"San José de Uré"
44098,"Distracción"
25154,"Carmen de Carupa"
52390,"La Tola"
25745,"Simijaca"
5686,"Santa Rosa de Osos"
5475,"Murindó"
19473,"Morales"
19142,"Caloto"
73283,"Fresno"
25769,"Subachoque"
5086,"Belmira"
5134,"Campamento"
5664,"San Pedro los Milagros"
41026,"Altamira"
18150,"Cartagena del Chairá"
63690,"Salento"
52240,"Chachagüí"
13620,"San Cristóbal"
20787,"Tamalameque"
13188,"Cicuco"
44078,"Barrancas"
15491,"Nobsa"
5107,"Briceño"
25426,"Machetá"
41548,"Pital"
5690,"Santo Domingo"
25845,"Une"
73236,"Dolores"
66594,"Quinchía"
52885,"Yacuanquer"
25491,"Nocaima"
17616,"Risaralda"
41016,"Aipe"
5321,"Guatapé"
68500,"Oiba"
70235,"Galeras"
13654,"San Jacinto"
5809,"Titiribí"
52694,"San Pedro de Cartago"
76736,"Sevilla"
85162,"Monterrey"
76863,"Versalles"
5002,"Abejorral"
15494,"Nuevo Colón"
19137,"Caldono"
68229,"Curití"
52233,"Cumbitara"
17513,"Pácora"
15599,"Ramiriquí"
25599,"Apulo"
17486,"Neira"
20310,"González"
76828,"Trujillo"
5543,"Peque"
25662,"San Juan de Rioseco"
52354,"Imués"
19807,"Timbío"
5040,"Anorí"
47460,"Nueva Granada"
15693,"Santa Rosa de Viterbo"
5501,"Olaya"
27450,"Medio San Juan"
52022,"Aldana"
27800,"Unguía"
68013,"Aguada"
54223,"Cucutilla"
17042,"Anserma"
54051,"Arboledas"
63190,"Circasia"
73555,"Planadas"
5792,"Tarso"
41660,"Saladoblanco"
18460,"Milán"
17088,"Belalcázar"
5206,"Concepción"
25535,"Pasca"
25815,"Tocaima"
20570,"Pueblo Bello"
5150,"Carolina"
41530,"Palestina"
20032,"Astrea"
19622,"Rosas"
66572,"Pueblo Rico"
44110,"El Molino"
50150,"Castilla la Nueva"
18785,"Solita"
25288,"Fúquene"
5364,"Jardín"
15774,"Susacón"
73547,"Piedras"
68209,"Confines"
5604,"Remedios"
54385,"La Esperanza"
25086,"Beltrán"
5541,"Peñol"
5467,"Montebello"
5031,"Amalfi"
73030,"Ambalema"
54109,"Bucarasica"
50226,"Cumaral"
15466,"Monguí"
5240,"Ebéjico"
25898,"Zipacón"
52051,"Arboleda"
52411,"Linares"
66383,"La Celia"
50287,"Fuente de Oro"
15325,"Guayatá"
15814,"Toca"
5004,"Abriaquí"
76041,"Ansermanuevo"
54670,"San Calixto"
13490,"Norosí"
15407,"Villa de Leyva"
52687,"San Lorenzo"
25839,"Ubalá"
5125,"Caicedo"
85139,"Maní"
18860,"Valparaíso"
17388,"La Merced"
68324,"Guavatá"
5425,"Maceo"
44420,"La Jagua del Pilar"
81736,"Saravena"
15632,"Saboyá"
25281,"Fosca"
5658,"San José la Montaña"
41885,"Yaguará"
13458,"Montecristo"
81065,"Arauquita"
15272,"Firavitoba"
25797,"Tena"
15804,"Tibaná"
85263,"Pore"
54313,"Gramalote"
25001,"Agua de Dios"
25718,"Sasaima"
47703,"San Zenón"
15480,"Muzo"
5411,"Liborina"
68101,"Bolívar"
76243,"El Águila"
27006,"Acandí"
15740,"Siachoque"
5842,"Uramita"
52699,"Santacruz"
18205,"Curillo"
15753,"Soatá"
99524,"La Primavera"
52418,"Los Andes"
13780,"Talaigua Nuevo"
68235,"El Carmen de Chucurí"
68682,"San Joaquín"
85430,"Trinidad"
68575,"Puerto Wilches"
52254,"El Peñol"
5368,"Jericó"
68217,"Coromoro"
68132,"California"
25885,"Yacopí"
68079,"Barichara"
25524,"Pandi"
15223,"Cubará"
25841,"Ubaque"
5736,"Segovia"
68418,"Los Santos"
25120,"Cabrera"
68895,"Zapatoca"
15362,"Iza"
54239,"Durania"
15757,"Socha"
76823,"Toro"
18410,"La Montañita"
5310,"Gómez Plata"
73563,"Prado"
13667,"San Martín de Loba"
68533,"Páramo"
25299,"Gama"
25594,"Quetame"
19824,"Totoró"
25324,"Guataquí"
68160,"Cepitá"
25736,"Sesquilé"
54871,"Villa Caro"
5667,"San Rafael"
15215,"Corrales"
47960,"Zapayán"
52788,"Tangua"
70230,"Chalán"
81794,"Tame"
5190,"Cisneros"
15403,"La Uvita"
41319,"Guadalupe"
68051,"Aratoca"
17050,"Aranzazu"
15476,"Motavita"
13580,"Regidor"
68684,"San José de Miranda"
41244,"Elías"
25317,"Guachetá"
25394,"La Palma"
13600,"Río Viejo"
41006,"Acevedo"
41503,"Oporapa"
68464,"Mogotes"
15087,"Belén"
68385,"Landázuri"
15531,"Pauna"
5647,"San Andrés de Cuerquía"
68673,"San Benito"
52352,"Iles"
50325,"Mapiripán"
68322,"Guapotá"
25436,"Manta"
73520,"Palocabildo"
25040,"Anolaima"
25592,"Quebradanegra"
68296,"Galán"
68820,"Tona"
15580,"Quípama"
73024,"Alpujarra"
52036,"Ancuyá"
13062,"Arroyohondo"
19355,"Inzá"
44855,"Urumita"
41206,"Colombia"
50251,"El Castillo"
25489,"Nimaima"
68444,"Matanza"
13248,"El Guamo"
5036,"Angelópolis"
66687,"Santuario"
85230,"Orocué"
54599,"Ragonvalia"
15051,"Arcabuco"
73226,"Cunday"
5145,"Caramanta"
15842,"Úmbita"
5093,"Betulia"
73352,"Icononzo"
76246,"El Cairo"
73347,"Herveo"
15810,"Tipacoque"
66045,"Apía"
63302,"Génova"
52405,"Leiva"
15798,"Tenza"
41357,"Íquira"
15047,"Aquitania"
15696,"Santa Sofía"
5390,"La Pintada"
15837,"Tuta"
19517,"Páez"
52720,"Sapuyes"
68176,"Chima"
76616,"Riofrío"
73124,"Cajamarca"
15511,"Pachavita"
73152,"Casabianca"
68549,"Pinchote"
13440,"Margarita"
81300,"Fortul"
73055,"Armero"
47660,"Sabanas de San Ángel"
5091,"Betania"
15686,"Santana"
73854,"Valle de San Juan"
73026,"Alvarado"
17541,"Pensilvania"
50330,"Mesetas"
47720,"Santa Bárbara de Pinto"
15676,"San Miguel de Sema"
68152,"Carcasí"
15226,"Cuítiva"
15232,"Chíquiza"
13160,"Cantagallo"
54125,"Cácota"
68720,"Santa Helena del Opón"
76126,"Calima"
15500,"Oicatá"
