IDPAIS,COUNTRY,ISO3
422,LIBANO,LBN
430,LIBERIA,LBR
434,LIBIA,LBY
438,LIECHTENSTEIN,LIE
440,LITUANIA,LTU
442,LUXEMBURGO,LUX
446,MACAO,MAC
807,"MACEDONIA, EX REP. YUGOSLAVA DE",MKD
450,MADAGASCAR,MDG
458,MALASIA,MYS
454,MALAWI,MWI
462,MALDIVAS,MDV
466,MALI,MLI
470,MALTA,MLT
580,MARIANA,MNP
504,MARRUECOS,MAR
474,MARTINICA,MTQ
480,MAURICIO,MUS
478,MAURITANIA,MRT
175,MAYOTTE,MYT
484,MEXICO,MEX
583,"MICRONESIA, ESTADOS FED. DE",FSM
488,MIDWAY ISLANDS,MID
492,MONACO,MCO
496,MONGOLIA,MNG
499,MONTENEGRO,MNT
500,MONTSERRAT,MSR
508,MOZAMBIQUE,MOZ
0,MUNDO,WLD
104,MYANMAR,MMR
516,NAMIBIA,NAM
520,NAURU,NRU
524,NEPAL,NPL
558,NICARAGUA,NIC
562,NIGER,NER
566,NIGERIA,NGA
570,NIUE,NIU
898,NO ESPECIFICADOS,UNS
578,NORUEGA,NOR
540,NUEVA CALEDONIA,NCL
554,NUEVA ZELANDIA,NZL
512,OMAN,OMN
490,"OTRA ZONA DE ASIA, NO ESP.",OAS
528,PAISES BAJOS,NLD
586,PAKISTAN,PAK
585,PALAU,PLW
591,PANAMA,PAN
598,PAPUA NUEVA GUINEA,PNG
600,PARAGUAY,PRY
459,PEN MALAYSIA,PMY
604,PERU,PER
612,PITCAIRN,PCN
258,POLINESIA FRANCESA,PYF
616,POLONIA,POL
620,PORTUGAL,PRT
630,PUERTO RICO,PRI
634,QATAR,QAT
826,REINO UNIDO,GBR
760,REPUBLICA ARABE SIRIA,SYR
140,REPUBLICA CENTROAFRICANA,CAF
203,REPUBLICA CHECA,CZE
498,REPUBLICA DE MOLDOVA,MDA
278,REPUBLICA DEMOCRATICA ALEMANA,DDR
418,REPUBLICA DEMOCRATICA POPULAR LAO,LAO
214,REPUBLICA DOMINICANA,DOM
703,REPUBLICA ESLOVACA,SVK
638,REUNION,REU
642,RUMANIA,ROM
646,RWANDA,RWA
647,RYUKYU IS,RYU
461,SABAH,SBH
732,SAHARA OCCIDENTAL,ESH
659,SAINT KITTS Y NEVIS,KNA
658,SAINT KITTS-NEVIS-ANGUILLA-ARU,KN1
882,SAMOA,WSM
16,SAMOA AMERICANA,ASM
674,SAN MARINO,SMR
534,SAN MARTIN,SXM
666,SAN PEDRO Y MIQUELON,SPM
670,SAN VICENTE Y LAS GRANADINAS,VCT
654,SANTA ELENA,SHN
662,SANTA LUCIA,LCA
336,SANTA SEDE,VAT
678,SANTO TOME Y PRINCIPE,STP
457,SARAWAK,SWK
686,SENEGAL,SEN
891,"SERBIA, REP. FED. DE (SERBIA Y MONTENEGRO)",SER
690,SEYCHELLES,SYC
694,SIERRA LEONA,SLE
698,SIKKIM,SIK
702,SINGAPUR,SGP
706,SOMALIA,SOM
144,SRI LANKA,LKA
710,SUDAFRICA,ZAF
729,SUDAN,SUD
728,SUDAN DEL SUR,SSD
752,SUECIA,SWE
756,SUIZA,CHE
740,SURINAME,SUR
744,SVALBARD AND JAN MAYEN IS,SJM
748,SWAZILANDIA,SWZ
764,TAILANDIA,THA
158,"TAIWAN, CHINA",TWN
834,TANZANIA,TZA
762,TAYIKISTAN,TJK
80,TERRITORIO ANTARTICO BRITANICO,BAT
86,TERRITORIO BRITANICO DEL OCEANO INDICO,IOT
275,TERRITORIO PALESTINO OCUPADO,PSE
260,TIERRAS AUSTRALES Y ANTARTICAS FRANCESAS,ATF
626,TIMOR ORIENTAL,TMP
768,TOGO,TGO
772,TOKELAU,TKL
776,TONGA,TON
780,TRINIDAD Y TOBAGO,TTO
788,TUNEZ,TUN
795,TURKMENISTAN,TKM
792,TURQUIA,TUR
798,TUVALU,TUV
804,UCRANIA,UKR
800,UGANDA,UGA
810,UNION SOVIETICA,SVU
858,URUGUAY,URY
860,UZBEKISTAN,UZB
548,VANUATU,VUT
862,VENEZUELA,VEN
704,VIET NAM,VNM
872,WAKE ISLAND,WAK
887,"YEMEN, REP. DEL",YEM
720,"YEMEN, REP. DEM. DEL",YDR
890,"YUGOSLAVIA, REP. FED. DE (SERBIA Y MONTENEGRO)",YUG
894,ZAMBIA,ZMB
716,ZIMBABWE,ZWE
